암호화요양기호,요양기관명,위치_공공건물(장소)명,위치_방향,위치_거리,주차_가능대수,주차_비용 부담여부,주차_기타 안내사항,휴진안내_일요일,휴진안내_공휴일,응급실_주간_운영여부,응급실_주간_전화번호1,응급실_주간_전화번호2,응급실_야간_운영여부,응급실_야간_전화번호1,응급실_야간_전화번호2,점심시간_평일,점심시간_토요일,접수시간_평일,접수시간_토요일,SunStart,SunEnd,MonStart,MonEnd,TuesStart,TuesEnd,WedStart,WedEnd,ThursStart,ThursEnd,FriStart,FriEnd,SatStart,SatEnd
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQ4OSQzNjEwMDIjNTEjJDEjJDYjJDgz,오케이하트내과의원,구산빌딩,,,2,N,,휴진,휴진,N,,,N,,,오후1시~오후2시,,08:30~16:30 (수요일 08:30~ 12:00),08:30~12:00 (수요일 08:30~ 12:00),,,0830,1730,0830,1730,0830,1300,0830,1730,0830,1730,0830,1300
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ4MiQyNjE0ODEjNjEjJDEjJDQjJDgz,은평연세병원,구산역과 연신내역 중간지점,,,50,Y,"외래진료, 건강검진 및 입원/퇴원환자 주차비 무료",응급실 24시간 진료,응급실 24시간 진료,Y,02-388-0119,,Y,02-388-0119,,13시 00분 ~ 14시 00분,,08시 30분 ~ 17시 30분,08시 30분 ~ 12시 30분,,,0830,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230
JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz,상쾌한이비인후과의원,목포시북항보건소,목포시북항보건소사거리코너2층,,,,도로변평형주차가능(양측),휴진,휴진,N,,,N,,,12:30~14:00,,09:00~08:50,09:00~12:50,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQxIyQzIyQ4MiQyNjEwMDIjODEjJDEjJDYjJDgz,한빛약국,,,,,,,휴진,오전9시~오후4시까지,N,,,N,,,오후1시~오후2시까지,오후1시~오후2시까지,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQxIyQzIyQ4MiQzNjE0ODEjNTEjJDEjJDYjJDgz,바다약국,,,,,,,,,N,,,N,,,,,,,,,0900,2200,0900,2200,0900,2200,0900,2200,0900,2200,0900,2200
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQxIyQzIyQ4OSQyNjE0ODEjNjEjJDEjJDAjJDgz,푸른약국,부산광역시 진구 부전동 83번지 고촌빌딩 1층,,,10,Y,,휴진,휴진,N,,,N,,,13시30분 ~14시 30분,,,,,,0900,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ1IyQ5MiQzNjE0ODEjNDEjJDEjJDQjJDgz,롯데약국,구서시장 맡은 편 덕원메디칼 빌딩 1층,구서시장에서 부산은행 방향 좌측,약 30m,4,Y,야간(19시 이후)엔 운영하지 않습니다.,"매월 2주, 5주 쉽니다.",09시부터 17시까지 운영합니다.,N,,,N,,,,,,,1100,1900,0830,2130,0830,2130,0830,2130,0830,2130,0830,2130,0830,1900
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ1IyQ5OSQyNjEyMjIjNzEjJDEjJDgjJDgz,신세계약국,서동  롯데리아  옆,,,10,N,조제환자  1시간  무료,,,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ5IyQ3MiQyNjE0ODEjODEjJDEjJDYjJDgz,명문약국,지하철 숙등역,시영아파트 쪽 버스정류소,인접,,,,,,N,,,N,,,09시00분~22시00분,09시00분~22시00분,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ5IyQ3OSQzNjEwMDIjNTEjJDEjJDYjJDgz,비타민약국,세원주식회사,큰길건너편 파리바게트옆,,10,N,건물 뒤편,전부휴진,,N,,,N,,,,,,,,,0900,1950,0900,1950,0900,1950,0900,1950,0900,1950,0900,1630
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ5IyQ4MiQzNjE0ODEjODEjJDEjJDYjJDgz,천우약국,부산진고등학교,부산진고등학교 후문,,,,,휴무,,N,,,N,,,13시20분~14시00분,13시20분~14시00분,,,,,0900,2200,0900,2200,0900,2200,0900,2200,0900,2200,0900,2200
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ5IyQ5OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,알찬약국,지하철 대연역1번출구 1M앞,,,,,,,,N,,,N,,,,,,,1100,2100,0900,2200,0900,2200,0900,2200,0900,2200,0900,2200,0900,2100
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ5IyQ5OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,건강백세약국,덕천로터리->만덕방향 50m직진 우측 아이비젼안경 지하,만덕방향,50m,,,,,,N,,,N,,,,,,,,,0840,1900,0840,1900,0840,1900,0840,1900,0840,1900,0840,1700
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQxIyQ5OSQyNjEwMDIjNTEjJDEjJDIjJDgz,동산약국,남천동 맥도널드 골목으로 50M 바닷가쪽으로 내려올것,,,,,,,,N,,,N,,,13시00분~14시00분,13시00분~14시00분,09시00분~21시00분,09시00분~21시00분,,,0900,2100,0900,2100,0900,2100,0900,2100,0900,2100,0900,2100
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQyIyQxIyQwMCQ0NjE0ODEjNzEjJDEjJDgjJDgz,굿모닝약국,,,,,,,,,N,,,N,,,,,,,,,0900,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,2000
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzxgxMTkxIzIxIyQyIyQxIyQwMCQzNjEwMDIjNTEjJDEjJDIjJDgz,참사랑약국,,,,,,,,,N,,,N,,,,,,,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQ3IyQ5OSQyNjEyMjIjNjEjJDEjJDgjJDgz,대선약국,농협,농협정문에서 좌측,50m,,,,,,N,,,N,,,13:00~14:00,13:00~14:00,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQ3IyQ5OSQzNjE0ODEjNTEjJDEjJDIjJDgz,모범약국,부곡시장,온천장방향으로,50m,,,,전부휴진,9시~18시,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQzIyQ3MiQyNjE0ODEjNjEjJDEjJDQjJDgz,네온우리약국,해운대 노인복지관,정문,10m,,,,전부휴진,전부 휴진,N,,,N,,,,,09:00~19:00,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQzIyQ3OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,구포시장약국,,,,,,,,,N,,,N,,,,,,,0900,2100,0900,2130,0900,2130,0900,2130,0900,2130,0900,2130,0900,2100
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQzIyQ4OSQzNjEwMDIjNzEjJDEjJDgjJDgz,메리놀약국,메리놀병원,위쪽,50m,,,,휴무,휴무,N,,,N,,,12시 ~13시,,09시 ~ 18시,09시~ 13시,,,0900,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQzIyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz,세종약국,민락어패류시장,건너편,10미터,,,,,,N,,,N,,,,,,,1300,0100,,,1300,0100,1300,0100,1300,0100,1300,0100,1300,0100
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQyIyQ3IyQwMCQzNjEwMDIjODEjJDEjJDIjJDgz,장약국,,,,,,,,,N,,,N,,,,,,,,,0900,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzQxIyQxIyQ3IyQ2MiQzNjE4MzIjODEjJDEjJDIjJDgz,새대학약국,부산 백병원,병원 입구에서 좌측,10m,,,,휴무,휴무,N,,,N,,,,,08시30분~18시00분,08시30분~13시00분,,,0830,1800,0830,1800,0830,1800,0830,1800,0830,1800,0830,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzQxIyQxIyQ3IyQ2MiQzNjEwMDIjNDEjJDEjJDgjJDgz,동해약국,사하구청,괴정방향,500M,,,,,,N,,,N,,,,,,,1000,1400,0900,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1900
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzQxIyQyIyQ3IyQwMCQzNjE0ODEjNjEjJDEjJDgjJDgz,은하수약국,,,,,,,,,N,,,N,,,,,,,,,0900,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQxIyQ1IyQ3MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,튼튼약국,하남초등학교,정문맞은편,,,,,휴진,,N,,,N,,,13시00분-14시00분,13시00분-14시00분,,,,,0900,1930,0900,1930,0900,1930,0900,1930,0900,1930,0900,1630
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQxIyQ1IyQwMyQyNjEyMjIjODEjJDEjJDYjJDgz,가야로약국,개금골목시장입구,,,,,,,,N,,,N,,,,,09시00분~22시00분,09시00분~21시00분,,,,,,,,,,,,,,
