암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,개설일자,좌표(X),좌표(Y)
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzIxIyQxIyQ5IyQ4MiQzNjEwMDIjNDEjJDEjJDgjJDgz,홍은약국,81,약국,110000,서울,110010,서대문구,홍은동,03663,"서울특별시 서대문구 가좌로 65, 1층 102호 (홍은동, 서강주상복합아파트)",02-309-2817,20210927,126.9290009,37.5790991
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxNzAyIzUxIyQxIyQxIyQ3MiQzNjEyMjIjNjEjJDEjJDAjJDgz,종로프라자약국,81,약국,310000,경기,310100,광명시,광명동,14202,"경기도 광명시 오리로 984, 1층 (광명동)",02-2689-4288,20070316,126.8540183,37.4797583
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxOTYxIzQxIyQxIyQ3IyQwMyQzNjEyMjIjNDEjJDEjJDgjJDgz,서현윤약국,81,약국,310000,경기,310403,성남분당구,서현동,13591,"경기도 성남시 분당구 황새울로342번길 9, 서울문고 1층 일부호 (서현동)",,20240115,127.1234385,37.3860699
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkNDgxMzUxIzIxIyQxIyQxIyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,대영약국,81,약국,210000,부산,210001,부산남구,대연동,48510,"부산광역시 남구 황령대로492번길 8, 영보빌딩 103호 (대연동)",051-622-5777,20240112,129.1071265,35.1380366
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzQxIyQxIyQ3IyQ3MiQyNjEwMDIjNDEjJDEjJDgjJDgz,대학약국,81,약국,250000,대전,250003,대전서구,관저동,35365,"대전광역시 서구 관저동로 162, 건양프라자 (관저동)",042-541-0050,20181105,127.3411451,36.3065708
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkNDgxMzUxIzMxIyQxIyQ3IyQxMyQzNjEyMjIjNDEjJDEjJDgjJDgz,라라약국,81,약국,210000,부산,210010,부산사하구,하단동,49427,"부산광역시 사하구 낙동남로 1406, 101호 (하단동)",051-715-0862,20240116,128.9655838,35.1058002
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxNzAyIzUxIyQyIyQ1IyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz,암사조은온누리약국,81,약국,110000,서울,110002,강동구,암사동,05236,"서울특별시 강동구 고덕로 133, 상가동 511호 (암사동, 강동롯데캐슬퍼스트아파트)",426-3666,20100401,127.1403474,37.5552527
JDQ4MTYyMiM1MSMkMSMkNCMkMDMkMzgxOTYxIzUxIyQxIyQxIyQ5OSQzNjEyMjIjNTEjJDEjJDIjJDgz,D마트약국,81,약국,320000,강원,320400,원주시,단계동,26436,"강원특별자치도 원주시 천사로 50, 1층 (단계동, 새동빌딩)",033-746-0114,20010112,127.9309947,37.3475681
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzUxIyQxIyQ1IyQ3OSQzNjE0ODEjNjEjJDEjJDAjJDgz,마장튼튼약국,81,약국,310000,경기,312100,이천시,마장면,17387,"경기도 이천시 마장면 중앙로10번길 30, 1층 104호",031-633-6294,20240116,127.3569914,37.2507871
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzMxIyQxIyQzIyQ4OSQzNjEyMjIjNTEjJDEjJDIjJDgz,연세약국,81,약국,310000,경기,310800,의정부시,의정부동,11693,"경기도 의정부시 태평로 108, 1층 (의정부동)",031-842-1700,20210901,127.0517877,37.7422240
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzMxIyQxIyQ3IyQwMyQyNjEyMjIjNjEjJDEjJDAjJDgz,우리아이약국,81,약국,340000,충남,340202,천안동남구,신부동,31123,"충청남도 천안시 동남구 만남로 50, 1층 104호 (신부동, 터미널프라자)",041-555-0103,20160905,127.1576124,36.8186482
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxMzUxIzExIyQxIyQ3IyQ4OSQzNjE4MzIjNDEjJDEjJDQjJDgz,스카이약국,81,약국,110000,서울,110021,서초구,방배동,06562,"서울특별시 서초구 방배로 199, 1층 C호 (방배동)",02-532-7225,20230424,126.9911577,37.4911126
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxOTYxIzQxIyQxIyQ3IyQ3MiQzNjEyMjIjODEjJDEjJDYjJDgz,편안우리약국,81,약국,310000,경기,310402,성남중원구,금광동,13167,"경기도 성남시 중원구 자혜로 40, 삼복빌딩 1층 (금광동)",031-734-2755,20240528,127.1639295,37.4503076
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxNzAyIzUxIyQxIyQ1IyQ4MiQyNjEwMDIjNjEjJDEjJDAjJDgz,화인약국,81,약국,110000,서울,110018,송파구,문정동,05833,"서울특별시 송파구 중대로 80, (문정동, 롯데마트 3층)",02-449-0895,20060102,127.1178428,37.4917620
JDQ4MTYyMiM2MSMkMSMkNiMkMDMkMzgxMTkxIzIxIyQyIyQxIyQwMCQyNjE0ODEjODEjJDEjJDYjJDgz,참다운약국,81,약국,350000,전북,350402,전주덕진구,우아동3가,54910,"전북특별자치도 전주시 덕진구 도당산1길 13, (우아동3가)",,20230419,127.1539848,35.8458819
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQ1IyQ3OSQyNjE4MzIjNjEjJDEjJDgjJDgz,박하향약국,81,약국,220000,인천,220005,인천서구,원당동,22866,"인천광역시 서구 이음대로 392, 메트로시티 106,107호 (원당동)",032-568-8591,20230418,126.7127253,37.5926069
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxNzAyIzIxIyQxIyQ1IyQ4MiQzNjEyMjIjODEjJDEjJDYjJDgz,좋은우리약국,81,약국,310000,경기,312300,김포시,걸포동,10099,"경기도 김포시 감암로 7, (걸포동)",031-987-7718,20230412,126.7111628,37.6319034
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzMxIyQxIyQ3IyQwMyQyNjE0ODEjODEjJDEjJDIjJDgz,신세계약국,81,약국,340000,충남,340015,홍성군,홍성읍,32230,"충청남도 홍성군 홍성읍 내포로 20, (홍성읍)",041-632-2575,20210812,126.6656799,36.6001095
JDQ4MTYyMiM2MSMkMSMkNiMkMDMkMzgxMTkxIzIxIyQxIyQ1IyQwMyQ0NjE0ODEjNzEjJDEjJDgjJDgz,신시심야약국,81,약국,350000,전북,350401,전주완산구,효자동3가,54969,"전북특별자치도 전주시 완산구 홍산중앙로 46, 1층 102호 (효자동3가)",,20230424,127.1093332,35.8176135
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxNzAyIzUxIyQxIyQ1IyQ2MiQzNjE4MzIjODEjJDEjJDYjJDgz,프라자약국,81,약국,110000,서울,110004,관악구,봉천동,08750,"서울특별시 관악구 봉천로 391, 115호 (봉천동, 두산아파트에이상가)",02-3285-7294,20010309,126.9432631,37.4834822
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxOTYxIzMxIyQxIyQ3IyQ5OSQzNjEwMDIjODEjJDEjJDYjJDgz,오약국,81,약국,340000,충남,340400,보령시,명천동,33475,"충청남도 보령시 흥덕로 22, (명천동)",041-936-4964,20230424,126.6032250,36.3402040
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQxIyQ5MiQzNjE4MzIjODEjJDEjJDIjJDgz,파랑약국,81,약국,210000,부산,210009,부산해운대구,반여동,48037,"부산광역시 해운대구 선수촌로 94, 대룡빌딩 102호 (반여동)",051-526-8900,20201210,129.1195631,35.2021038
JDQ4MTg4MSM1MSMkMSMkOCMkMDMkMzgxMzUxIzExIyQxIyQ3IyQ5OSQyNjEwMDIjNDEjJDEjJDQjJDgz,참약사한마음약국,81,약국,110000,서울,110002,강동구,성내동,05377,"서울특별시 강동구 풍성로51길 3, 1층 (성내동)",02-477-9877,20230414,127.1325223,37.5301002
JDQ4MTYyMiM4MSMkMSMkMCMkMDMkNDgxOTYxIzMxIyQxIyQzIyQ5OSQyNjEyMjIjNDEjJDEjJDgjJDgz,오늘약국,81,약국,230000,대구,230004,대구서구,평리동,41777,"대구광역시 서구 국채보상로 223, 대원빌딩 106호 (평리동)",053-557-5577,20230331,128.5553458,35.8708157
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzMxIyQxIyQ3IyQwMyQyNjEwMDIjNjEjJDEjJDgjJDgz,메가약국,81,약국,340000,충남,340700,논산시,내동,32983,"충청남도 논산시 중앙로 255, 116호 (내동)",041-732-0280,20220829,127.0990133,36.1898965
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNDgxNzAyIzQxIyQxIyQ3IyQwMyQzNjEyMjIjNTEjJDEjJDYjJDgz,한빛약국,81,약국,110000,서울,110019,중랑구,면목동,02162,"서울특별시 중랑구 겸재로 225, 1층 (면목동)",02-2207-3588,20190806,127.0925830,37.5896915
