서울ID,주소,요양기관명,전화번호,MonEnd,TuesEnd,WedEnd,ThursEnd,FriEnd,SatEnd,SunEnd,진료시간(공휴일)C,MonStart,TuesStart,WedStart,ThursStart,FriStart,SatStart,SunStart,진료시간(공휴일)S,우편번호1,우편번호2,좌표(X),좌표(Y),작업일시
C1109587,"서울특별시 강남구 헌릉로571길 7, 강남레체 1층 101호 (세곡동)",100세건강약국,02-445-1460,2000,2000,2000,2000,2000,1900,,,0900,0900,0900,0900,0900,0900,,,063,76,127.1013669,37.46604487,2024.12.20 17:57
C1104565,"서울특별시 영등포구 양평로 24, (당산동6가)",100세약국,02-2678-8217,1900,1900,1900,1900,1900,1630,,,0830,0830,0830,0830,0830,0830,,,072,23,126.9037411,37.53325958,2024.12.20 17:57
C1108718,"서울특별시 중구 서소문로 116, 유원빌딩 1304호 (서소문동)",13층약국,070-7718-1316,1850,1850,1850,1850,1850,1630,,,0840,0840,0840,0840,0840,0830,,,045,13,126.9740074,37.56273167,2024.12.20 17:57
C1110181,"서울특별시 마포구 백범로 152, 201동 14호 (공덕동, 공덕파크자이)",152약국,02-717-0152,2000,2000,2000,2000,2000,1500,,,1000,1000,1000,1000,1000,1000,,,041,48,126.9482582,37.54474774,2024.12.20 17:57
C1109946,"서울특별시 중구 명동길 74, 카톨릭회관 신관 B113호 (명동2가)",1898광장약국,02-0000-0000,2000,2000,2000,2000,2000,2000,2000,2000,0900,0900,0900,0900,0900,0900,0900,0900,045,37,126.9867758,37.56367587,2024.12.20 17:57
C1102116,서울특별시 구로구 구로동로 132 (구로동),1번약국,02-851-1155,1830,1830,1830,1830,1830,1500,2000,2000,0830,0830,0830,0830,0830,0900,0900,0900,083,11,126.88431849433363,37.49039833671406,2024.12.20 17:57
C1104416,서울특별시 관악구 남부순환로 1832 1층,1번약국,02-872-7583,2030,2030,2030,2030,2030,1700,1500,2000,0900,0900,0900,0900,0900,0900,0930,0900,087,88,126.9534976,37.48070592,2024.12.20 17:57
C1109967,"서울특별시 노원구 화랑로 337, 102호 (월계동)",1번출구새싹약국,02-919-7167,1930,1930,1930,1930,1930,1500,1500,2000,0830,0830,0830,0830,0830,0900,0930,0900,018,95,127.0651692,37.61523935,2024.12.20 17:57
C1109171,"서울특별시 금천구 시흥대로 214, 비즈메드빌딩 1층 102호 (시흥동)",1층메디컬약국,02-891-1112,1910,1910,1910,2000,1910,1530,1500,1330,0900,0900,0900,0900,0900,0900,0930,0900,086,28,126.9017122,37.45304289,2024.12.20 17:57
C1108823,"서울특별시 강남구 강남대로 624, ICT TOWER 1층 일부호 (신사동)",1층엔약국,02-518-3014,2000,2000,2000,2000,2000,1600,1500,1330,0900,0900,0900,0900,0900,0840,0930,0900,060,35,127.0195009,37.51750389,2024.12.20 17:57
C1108656,"서울특별시 강동구 천호대로 1006, 브라운스톤천호 105호 (성내동)",1층천호약국,02-478-1178,1930,1930,1930,1930,1930,1500,1500,1330,1000,1000,1000,1000,1000,1000,0930,0900,053,78,127.123789,37.5380514,2024.12.20 17:57
C1107724,"서울특별시 노원구 한글비석로 383, 1층 일부호 (중계동, 삼창타워프라자)",1층호약국,02-933-9487,1900,1900,1900,1900,1900,1530,1500,1330,0800,0800,0800,0800,0800,0800,0930,0900,016,99,127.073075,37.65911197,2024.12.20 17:57
