암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y)
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,가톨릭대학교 성빈센트병원,1,상급종합,310000,경기,310603,수원팔달구,지동,16247,"경기도 수원시 팔달구 중부대로 93, (지동)",031-1577-8588,http://www.cmcvincent.or.kr/skip.html,19670523,255,0,0,7,241,0,0,0,7,0,0,0,0,0,127.0274271,37.2779855
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz,가톨릭대학교인천성모병원,1,상급종합,220000,인천,220003,인천부평구,부평동,21431,"인천광역시 부평구 동수로 56, (부평동)",032-1544-9004,http://www.cmcism.or.kr/,19810806,251,3,0,3,241,1,0,0,3,0,0,0,0,0,126.7248987,37.4848309
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,강릉아산병원,1,상급종합,320000,강원,320100,강릉시,사천면,25440,"강원특별자치도 강릉시 사천면 방동길 38, (사천면)",033-610-3114,http://www.gnah.co.kr,19960730,176,8,0,12,154,0,0,0,2,0,0,0,0,0,128.8578411,37.8184325
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,강북삼성병원,1,상급종합,110000,서울,110016,종로구,평동,3181,"서울특별시 종로구 새문안로 29, (평동)",02-2001-2001,http://www.kbsmc.co.kr,19790324,276,1,1,11,255,4,0,0,4,0,0,0,0,0,126.96775,37.5684083
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,건국대학교병원,1,상급종합,110000,서울,110023,광진구,화양동,5030,"서울특별시 광진구 능동로 120-1, (화양동)",1588-1533,http://www.kuh.ac.kr,19821116,256,1,0,19,234,0,0,0,2,0,0,0,0,0,127.0718276,37.5403764
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz,경북대학교병원,1,상급종합,230000,대구,230006,대구중구,삼덕동2가,41944,"대구광역시 중구 동덕로 130, (삼덕동2가, 경북대학교병원)",053-200-5114,http://knumc.knu.ac.kr,19100907,240,4,1,21,213,0,0,0,1,0,0,0,0,0,128.604703,35.8662525
JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNjEjJDEjJDQjJDgz,경상국립대학교병원,1,상급종합,380000,경남,380500,진주시,칠암동,52727,"경상남도 진주시 강남로 79, (칠암동)",055-750-8000,http://www.gnuh.co.kr/,19861013,189,0,0,9,178,0,0,0,2,0,0,0,0,0,128.0964924,35.1759944
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz,경희대학교병원,1,상급종합,110000,서울,110007,동대문구,회기동,2447,"서울특별시 동대문구 경희대로 23, (회기동)",02-958-8114,http://www.khuh.or.kr/,19711005,252,8,0,2,242,0,0,0,0,0,0,0,0,0,127.051852,37.5941195
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNjEjJDEjJDQjJDgz,계명대학교동산병원,1,상급종합,230000,대구,230007,대구달서구,신당동,42601,"대구광역시 달서구 달구벌대로 1035, (신당동)",1577-6622,http://www.dsmc.or.kr/,19680406,244,11,1,2,226,3,0,0,1,0,0,0,0,0,128.4801315,35.8538856
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,고려대학교의과대학부속구로병원,1,상급종합,110000,서울,110005,구로구,구로동,8308,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",02-2626-1114,http://guro.kumc.or.kr/main/index.do,19830831,373,1,1,15,321,0,6,18,11,0,0,0,0,0,126.8848701,37.492052
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNTEjJDEjJDIjJDgz,고려대학교의과대학부속안산병원,1,상급종합,310000,경기,311101,안산단원구,고잔동,15355,"경기도 안산시 단원구 적금로 123, (고잔동)",031-1577-7516,http://ansan.kumc.or.kr/main/index.do,19860101,286,10,1,22,249,0,0,0,4,0,0,0,0,0,126.8249033,37.3185144
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz,고신대학교복음병원,1,상급종합,210000,부산,210006,부산서구,암남동,49267,"부산광역시 서구 감천로 262, (암남동)",990-6114,http://www.kosinmed.or.kr/,19740226,192,2,1,5,178,3,0,0,3,0,0,0,0,0,129.0139595,35.0809636
JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjODEjJDEjJDYjJDgz,단국대학교의과대학부속병원,1,상급종합,340000,충남,340202,천안동남구,안서동,31116,"충청남도 천안시 동남구 망향로 201,  (안서동)",041-1588-0063,http://www.dkuh.co.kr/main/default.asp,19940425,230,1,1,15,213,0,0,0,0,0,0,0,0,0,127.172575,36.8415904
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,대구가톨릭대학교병원,1,상급종합,230000,대구,230001,대구남구,대명동,42472,"대구광역시 남구 두류공원로17길 33, (대명동)",053-650-3000,http://www.dcmc.co.kr/,19800812,202,0,0,3,190,2,0,0,7,0,0,0,0,0,128.5679969,35.8436078
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNDEjJDEjJDQjJDgz,동아대학교병원,1,상급종합,210000,부산,210006,부산서구,동대신동3가,49201,"부산광역시 서구 대신공원로 26, (동대신동3가)",051-240-2400,http://www.damc.or.kr,19900303,213,0,0,3,195,0,3,6,6,0,0,0,0,0,129.0175391,35.1201682
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,부산대학교병원,1,상급종합,210000,부산,210006,부산서구,아미동1가,49241,"부산광역시 서구 구덕로 179, (아미동1가)",240-7000,,19810827,296,0,0,6,272,3,3,3,9,0,0,0,0,0,129.0188032,35.1008477
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz,분당서울대학교병원,1,상급종합,310000,경기,310403,성남분당구,구미동,13620,"경기도 성남시 분당구 구미로173번길 82, (구미동, 분당서울대학교병원)",031-787-2114,http://www.snubh.org/index.do,20030415,612,13,0,20,551,2,3,12,11,0,0,0,0,0,127.1232509,37.3519807
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,삼성서울병원,1,상급종합,110000,서울,110001,강남구,일원동,6351,"서울특별시 강남구 일원로 81, (일원동, 삼성의료원)",02-3410-2114,http://www.samsunghospital.com,19940613,902,17,2,44,821,0,0,4,14,0,0,0,0,0,127.0851508,37.4882977
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,서울대학교병원,1,상급종합,110000,서울,110016,종로구,연건동,3080,"서울특별시 종로구 대학로 101, (연건동)",1588-5700,http://www.snuh.org,19810709,937,14,11,59,852,0,0,0,1,0,0,0,0,0,126.9990168,37.5797151
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjEyMjIjNzEjJDEjJDgjJDgz,순천향대학교부속부천병원,1,상급종합,310000,경기,310303,부천원미구,중동,14584,"경기도 부천시 원미구 조마루로 170, (중동)",032-621-5114,www.schmc.ac.kr/bucheon/kor/index.do,20010129,233,0,0,1,225,1,0,0,6,0,0,0,0,0,126.7629626,37.4986998
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE4MzIjNTEjJDEjJDYjJDgz,아주대학교병원,1,상급종합,310000,경기,310604,수원영통구,원천동,16499,"경기도 수원시 영통구 월드컵로 164, (원천동)",031-219-5114,http://hosp.ajoumc.or.kr/,19940425,453,15,0,14,393,1,5,13,12,0,0,0,0,0,127.0476837,37.2794612
JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE0ODEjODEjJDEjJDYjJDgz,양산부산대학교병원,1,상급종합,380000,경남,381100,양산시,물금읍,50612,"경상남도 양산시 물금읍 금오로 20, (물금읍)",055-360-1000,http://www.pnuyh.co.kr/content/,20081024,289,1,0,2,284,1,0,0,1,0,0,0,0,0,129.0057274,35.3281501
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNjEjJDEjJDQjJDgz,연세대학교 원주세브란스기독병원,1,상급종합,320000,강원,320400,원주시,일산동,26426,"강원특별자치도 원주시 일산로 20-0,  (일산동)",033-741-0114,http://wch.or.kr/,19770501,262,10,0,9,220,0,8,9,6,0,0,0,0,0,127.9456639,37.3490013
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz,연세대학교의과대학 강남세브란스병원,1,상급종합,110000,서울,110001,강남구,도곡동,6273,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",02-2019-3114,http://gs.iseverance.com,19830404,396,7,0,3,332,0,10,29,15,0,0,0,0,0,127.0462683,37.4929296
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,연세대학교의과대학세브란스병원,1,상급종합,110000,서울,110010,서대문구,신촌동,3722,"서울특별시 서대문구 연세로 50-1, (신촌동)",02-2228-0114,http://www.yuhs.or.kr,19740325,967,16,5,44,901,1,0,0,0,0,0,0,0,0,126.9408265,37.5623446
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjODEjJDEjJDYjJDgz,영남대학교병원,1,상급종합,230000,대구,230001,대구남구,대명동,42415,"대구광역시 남구 현충로 170, (대명동)",053-623-8001,http://www.yumc.ac.kr/00_main/main.htm,19830314,217,1,2,2,209,0,0,0,3,0,0,0,0,0,128.58205,35.848107
JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz,원광대학교병원,1,상급종합,350000,전북,350300,익산시,신동,54538,"전북특별자치도 익산시 무왕로 895, (신동)",063-859-1114,http://www.wkuh.org/,19811027,171,4,0,3,161,1,0,1,1,0,0,0,0,0,126.9595793,35.9646389
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE0ODEjODEjJDEjJDYjJDgz,의료법인 길의료재단 길병원,1,상급종합,220000,인천,220006,인천남동구,구월동,21565,"인천광역시 남동구 남동대로774번길 21-0, 의료법인길의료재단길병원",,www.gilhospital.com/,19870217,346,8,1,18,300,1,5,4,9,0,0,0,0,0,126.7092258,37.452171
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjEwMDIjNjEjJDEjJDQjJDgz,이화여자대학교의과대학부속목동병원,1,상급종합,110000,서울,110020,양천구,목동,7985,"서울특별시 양천구 안양천로 1071, (목동)",02-2650-5114,http://www.eumc.ac.kr/mokdong/,19930730,259,1,0,27,212,0,2,9,8,0,0,0,0,0,126.8862379,37.5362859
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,인제대학교부산백병원,1,상급종합,210000,부산,210004,부산진구,개금동,47392,"부산광역시 부산진구 복지로 75, 진사로83번길 75, 진사로83번길 81, 1층(일부), 3층 (개금동)",051-890-6114,,19790601,211,3,0,2,201,0,0,1,4,0,0,0,0,0,129.0208609,35.1455173
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNjEjJDEjJDAjJDgz,인하대학교의과대학부속병원,1,상급종합,220000,인천,220004,인천중구,신흥동3가,22332,"인천광역시 중구 인항로 27, (신흥동3가)",032-890-2114,http://www.inha.com/mainpage/index.htm,19960322,295,4,1,19,266,1,0,0,4,0,0,0,0,0,126.6340955,37.4586786
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz,재단법인아산사회복지재단 서울아산병원,1,상급종합,110000,서울,110018,송파구,풍납동,5505,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",02-3010-3114,http://www.amc.seoul.kr,19890520,1123,12,1,34,1036,2,0,21,17,0,0,0,0,0,127.107935,37.5265762
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNTEjJDEjJDYjJDgz,전남대학교병원,1,상급종합,240000,광주,240001,광주동구,학동,61469,"광주광역시 동구 제봉로 42,  (학동)",062-1899-0000,http://www.cnuh.com/,19830415,286,0,1,10,267,0,0,0,8,0,0,0,0,0,126.9215805,35.1418094
JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNDEjJDEjJDQjJDgz,전북대학교병원,1,상급종합,350000,전북,350402,전주덕진구,금암동,54907,"전북특별자치도 전주시 덕진구 건지로 20,  (금암동)",063-250-1129,http://www.cuh.co.kr/,19830128,252,4,2,5,238,0,0,0,3,0,0,0,0,0,127.1411626,35.8470974
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,조선대학교병원,1,상급종합,240000,광주,240001,광주동구,학동,61453,"광주광역시 동구 필문대로 365,  (학동)",062-220-3321,http://hosp.chosun.ac.kr,19830415,172,1,0,6,161,0,0,1,3,0,0,0,0,0,126.9261468,35.1390538
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNTEjJDEjJDIjJDgz,중앙대학교병원,1,상급종합,110000,서울,110008,동작구,흑석동,6973,"서울특별시 동작구 흑석로 102, (흑석동)",1800-1114,http://ch.cauhs.or.kr/,20041201,242,3,1,5,219,6,0,0,8,0,0,0,0,0,126.9607839,37.5067481
JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNjEjJDEjJDgjJDgz,충남대학교병원,1,상급종합,250000,대전,250005,대전중구,대사동,35015,"대전광역시 중구 문화로 282, (대사동)",042-1599-7123,www.cnuh.co.kr/,19841105,266,1,1,5,256,0,0,0,3,0,0,0,0,0,127.415363,36.316908
JDQ4MTYyMiM1MSMkMSMkOCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjODEjJDEjJDIjJDgz,충북대학교병원,1,상급종합,330000,충북,330104,청주서원구,개신동,28644,"충청북도 청주시 서원구 1순환로 776-0, 충북대학교병원",043-269-6114,http://www.cbnuh.or.kr/business/main.action,19910531,215,6,0,9,195,0,0,0,5,0,0,0,0,0,127.4614843,36.6242237
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNzEjJDEjJDgjJDgz,칠곡경북대학교병원,1,상급종합,230000,대구,230003,대구북구,학정동,41404,"대구광역시 북구 호국로 807, 칠곡경북대학교병원(임상실습동 1~11층 포함) (학정동)",053-200-2000,www.knumc.org,20101029,207,1,0,5,199,0,0,0,2,0,0,0,0,0,128.5646727,35.9564207
JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz,학교법인 건양교육재단 건양대학교병원,1,상급종합,250000,대전,250003,대전서구,관저동,35365,"대전광역시 서구 관저동로 158, (관저동)",042-600-9999,http://www.kyuh.ac.kr/,19991120,188,0,0,16,168,1,0,0,3,0,0,0,0,0,127.342613,36.306642
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),1,상급종합,110000,서울,110012,성북구,안암동5가,2841,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",1577-0083,http://anam.kumc.or.kr/main/index.do,19740325,399,3,1,12,358,1,3,12,9,0,0,0,0,0,127.0263537,37.5870165
JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNDEjJDEjJDgjJDgz,학교법인 울산공업학원 울산대학교병원,1,상급종합,260000,울산,260002,울산동구,,44033,"울산광역시 동구 대학병원로 25, 울산대학교병원 (전하동)",052-250-7000,http://www.uuh.ulsan.kr/main/main.asp,19870701,278,7,0,18,234,4,0,5,8,0,0,0,0,2,129.4289116,35.5200702
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjODEjJDEjJDIjJDgz,학교법인가톨릭학원가톨릭대학교서울성모병원,1,상급종합,110000,서울,110021,서초구,반포동,6591,"서울특별시 서초구 반포대로 222, (반포동)",02-1588-1511,http://www.cmcseoul.or.kr/,19800502,624,6,0,38,550,0,5,15,10,0,0,0,0,0,127.0051154,37.5009444
JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEyMjIjNjEjJDEjJDQjJDgz,학교법인성균관대학삼성창원병원,1,상급종합,380000,경남,380701,창원마산회원구,합성동,51353,"경상남도 창원시 마산회원구 팔용로 158-158, (합성동, 삼성창원병원)",055-233-8899,http://smc.skku.edu,19810311,209,7,1,2,191,6,0,0,2,0,0,0,0,0,128.5923771,35.2424957
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,한림대학교성심병원,1,상급종합,310000,경기,310702,안양동안구,평촌동,14068,"경기도 안양시 동안구 관평로170번길 22, (평촌동)",031-380-1500,http://hallym.hallym.or.kr/,19981217,258,1,1,22,213,0,3,9,9,0,0,0,0,0,126.9620529,37.3917575
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,한양대학교병원,1,상급종합,110000,서울,110011,성동구,사근동,4763,"서울특별시 성동구 왕십리로 222-1, (사근동)",02-2290-8114,http://seoul.hyumc.com,19720424,240,4,0,7,216,0,2,5,6,0,0,0,0,0,127.0441339,37.5596569
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjODEjJDEjJDIjJDgz,화순전남대학교병원,1,상급종합,360000,전남,360022,화순군,화순읍,58128,"전라남도 화순군 화순읍 서양로 322, (화순읍)",061-379-7114,http://www.cnuhh.com/,20040406,162,1,0,8,151,0,0,0,2,0,0,0,0,0,127.0025,35.0594333
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz,(의)나사렛의료재단 나사렛국제병원,11,종합병원,220000,인천,220007,인천연수구,동춘동,21972,"인천광역시 연수구 먼우금로 98,  (동춘동)",032-899-9999,http://www.nasaret.co.kr/,20091201,61,1,0,0,55,3,0,0,0,0,0,0,2,0,126.6704928,37.407958
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,(의)성세의료재단 뉴성민병원,11,종합병원,220000,인천,220005,인천서구,석남동,22789,"인천광역시 서구 신석로 70, (석남동)",032-726-1000,http://www.smgh.co.kr,19930708,36,7,0,0,29,0,0,0,0,0,0,0,0,0,126.6698519,37.5097753
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjNTEjJDEjJDYjJDgz,(의)영문의료재단 다보스병원,11,종합병원,310000,경기,312003,용인처인구,김량장동,17063,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",031-8021-2114,http://www.davoshospital.co.kr,20081224,33,0,0,0,32,1,0,0,0,0,0,0,0,0,127.2114648,37.2314883
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,(재)미리내천주성삼성직수도회천주성삼병원,11,종합병원,230000,대구,230005,대구수성구,신매동,42274,"대구광역시 수성구 달구벌대로 3190, (신매동, 천주성삼병원)",053-790-1000,,20030124,24,0,0,0,24,0,0,0,0,0,0,0,0,0,128.7057102,35.8402518
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNDEjJDEjJDgjJDgz,KS병원,11,종합병원,240000,광주,240004,광주광산구,수완동,62248,"광주광역시 광산구 왕버들로 220,  (수완동)",062-975-9000,http://www.kshosp.com,20110422,43,3,0,0,39,0,0,0,1,0,0,0,0,0,126.8331484,35.1979238
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjE0ODEjNjEjJDEjJDgjJDgz,가톨릭관동대학교 국제성모병원,11,종합병원,220000,인천,220005,인천서구,심곡동,22711,"인천광역시 서구 심곡로100번길 25-0, 인천국제성모병원",032-1600-8291,www.ish.or.kr,20140117,151,0,0,7,139,1,0,0,2,0,0,0,2,0,126.6836103,37.5424165
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDIjJDgz,가톨릭대학교 여의도성모병원,11,종합병원,110000,서울,110013,영등포구,여의도동,7345,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",1661-7575,http://www.cmcujb.or.kr/,19860820,158,0,0,8,147,0,0,0,3,0,0,0,0,0,126.9367517,37.5183253
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjNDEjJDEjJDQjJDgz,가톨릭대학교 은평성모병원,11,종합병원,110000,서울,110015,은평구,진관동,3312,"서울특별시 은평구 통일로 1021, (진관동)",02-1811-7755,http://www.cmcep.or.kr/,19610515,226,0,0,5,217,0,0,0,4,0,0,0,0,0,126.9161912,37.6334945
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNDEjJDEjJDQjJDgz,가톨릭대학교부천성모병원,11,종합병원,310000,경기,310303,부천원미구,소사동,14647,"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",032-1577-0675,http://www.cmcbucheon.or.kr,19831108,170,0,0,7,156,1,0,0,6,0,0,0,0,0,126.7924167,37.4871165
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,가톨릭대학교의정부성모병원,11,종합병원,310000,경기,310800,의정부시,금오동,11765,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",1661-7500,http://www.cmcujb.or.kr/,19711230,183,2,0,2,176,0,0,0,3,0,0,0,0,0,127.0777625,37.7587045
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE0ODEjNzEjJDEjJDgjJDgz,강남베드로병원,11,종합병원,110000,서울,110001,강남구,도곡동,6271,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",1544-7522,,20031219,34,1,0,0,33,0,0,0,0,0,0,0,0,0,127.0396045,37.4856196
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQyNjEwMDIjNjEjJDEjJDgjJDgz,강남병원,11,종합병원,310000,경기,312001,용인기흥구,신갈동,17064,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",031-300-0114,http://www.knmc.or.kr,20000701,48,7,0,0,41,0,0,0,0,0,0,0,0,0,127.1115072,37.2737515
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjEwMDIjODEjJDEjJDYjJDgz,강남종합병원,11,종합병원,230000,대구,230002,대구동구,방촌동,41145,"대구광역시 동구 동촌로 207, 강남병원 (방촌동)",053-980-9000,,20030627,20,0,0,0,20,0,0,0,0,0,0,0,0,0,128.6639117,35.8827739
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE4MzIjNDEjJDEjJDQjJDgz,강동경희대학교의대병원,11,종합병원,110000,서울,110002,강동구,상일동,5278,"서울특별시 강동구 동남로 892, (상일동)",02-440-7114,http://www.khnmc.or.kr,20060227,214,10,0,3,200,0,0,0,1,0,0,0,0,0,127.1576732,37.5535361
